semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
"honey → sweet → dear, beloved",comfort,honey-sweet,*melit- ‘honey’,*melit,"Gk. μέλι, gen. μέλιτος n. ‘honey’; Lat. mel, gen. mellis n. ‘honey’; Arm. mełr, gen. mełow (u-stem) ‘honey’; OIr. mil f. (i-stem) ‘honey’, OW, MW mel, OBret., MBret., MoBret. mel, OCorn. mel; Goth. miliþ n. ‘honey’ (acc. sg. miliþ haiþiwisk Mc 1.6); OE mildēaw, meledēaw n./m. ‘honeydew’, OS milidou n. ‘id.’, OHG militou n. ‘id.'; Alb. mjaltë ‘honey’. ","honey; sweet; to provide with honey, to honey-sweet","(HL) */mallid-/ ‘honey’; /mallidi-(ti)/ '(pass.) provided with honey, (metaphorical) very attractive (vel sim.)', ma-li-ri-i-mi-; maliddu; (CL) mallit- ‘honey’ (Čop's Law)",militess-; milit(t)- ‘honey’,*malit- ‘honey’,,mlttaime/i- honey-sweet’3116; *mltt- ‘honey’,,,,,"https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=393: PIE *mélit- means ‘honey’; Gk. μέλι, gen. μέλιτος n. ‘honey’; Lat. mel, gen. mellis n. ‘honey’; Arm. mełr, gen. mełow (u-stem) ‘honey’; OIr. mil f. (i-stem) ‘honey’, OW, MW mel, OBret., MBret., MoBret. mel, OCorn. mel; Goth. miliþ n. ‘honey’ (acc. sg. miliþ haiþiwisk Mc 1.6); OE mildēaw, meledēaw n./m. ‘honeydew’, OS milidou n. ‘id.’, OHG militou n. ‘id.'; Alb. mjaltë ‘honey’. (Sassville: HLuw. /mallidi-(ti)/ ‘to honey-sweet’ is likely to be a late formation because of the lenition of the alveolar in /mallid-i-/, which can only have occurred within the base noun. Although it would still be possible to assume that the denominative verb was remodeled in analogy to the base noun, the different semantics of the two putative cognates do not encourage this approach. Therefore, we suggest that Luw. /mallidi-(ti)/ is an inner-Luwian formation, which should not be reconstructed for Proto-Anatolian.)"
"to desire → to ask for → to receive → consent, favour",comfort,obedience,*nu- (tentative),*neu̯d- ‘to use’ or *neu̯dh- ‘to desire’ ?," Goth. niutan 'catch, gain', nuta 'fisher', un-nuts 'useless', ON njōta 'use, enjoy', Lith. naudá 'gain, profit', borrowed Finnish nauttia 'enjoy' (cf. German Nutzniessung 'usufruct, profit', OIr. Nuadu < *Newd-ont- 'Fisher'). Alternative etyma might be Ved. návate 'bellow, bray, shout; exult, acclaim, praise', Toch. AB nu- 'shout' (Neumann, apud Tischler, Glossar L-M-N 354]), or Gk. νεύω, Lat. nuō 'nod, assent'",obedience; contentment,nū(t)-;,"nū-n (nū-s, nū-t)",,,,,,,,"Puhvel (HED N:131-132): an inner-Hittite cognate may be nuzzi- in lahhu(wa)r-nuzzi- 'leaf crop, foliage supply' (vel sim.), tying in with *new-d- 'catch, gain, enjoy' (IEW 768), seen in Goth. niutan 'catch, gain', nuta 'fisher', un-nuts 'useless', ON njōta 'use, enjoy', Lith. naudá 'gain, profit', borrowed Finnish nauttia 'enjoy' (cf. German Nutzniessung 'usufruct, profit', OIr. Nuadu < *Newd-ont- 'Fisher'). Alternative etyma might be Ved. návate 'bellow, bray, shout; exult, acclaim, praise', Toch. AB nu- 'shout' (Neumann, apud Tischler, Glossar L-M-N 354]), or Gk. νεύω, Lat. nuō 'nod, assent'. Kloekhorst The word either occurs in lists of good things, always followed by ištamaššuar or tummantia-, or it occurs as an interjection (then nu-ú) in nu-ú halzai-i to call “nū”’. Since tummantia- is the Luwian correspondent to Hitt. ištamaššuar, and because of the one attestation with a gloss-wedge, some scholars regard nū- as a Luwian word, which would explain the dat.sg. form nūti: in Luwian, word-final -t- is dropped. This would mean, however, that a Luwian nū(t)- already in OH times was reshaped to Hitt. nom.sg. nūš and acc.sg.n n. Whether or not this is probable, the exact meaning of the word cannot be determined, which makes etymologizing impossible."
milk → poppy milk → drowsy → soothing,comfort,peace,*gl̥(n)ĝ-,*glo-n-ĝh-ei," Gk. γάλα(κτ)-, γλαγος 'milk', Hom. γλακτοφάγος 'milk-eating', Lat. lac(t)- 'milk' (the quintessential nutrient), Vedic jálāṣa- 'soothing' (< *galaĝso-?), Lith. glẽžnas (<*gleĝno-), ON klökkr (< *glenĝwo-) 'slack, tender'.",to calm down,,galank- / kalank-,,,,,,,,"Puhvel (HED K 18-20): PIE *g(l̥)l-n̥-ĝ-. Giiterbock (JAOS 103:161-162 [1983]) conjectured in KUB 24.7 I 45 a denominative verb 2 sg. pres. act. [ga]-la-ak-(a-ra-si in the sense of 'make drowsy'; he thought of galaktar as a plant or a vegetal substance and of a possible meaning 'poppy-milk', yet did not identify it outright with Papaver somniferum. kalank- resembles hamank- (q. v.) in having petrified nasal infixation, i.e. *g(l̥)l-n̥-ĝ-. Rather than assuming phonetic loss of /n/ in galaktar (thus e.g. Kammenhuber, MIO 2:418 [1954]; Kronasser, Etym. 1:89, 103), it may be a verbal noun based on the non-infixed stem. Possible cognates are Gk. γάλα(κτ)-, γλαγος 'milk', Hom. γλακτοφάγος 'milk-eating', Lat. lac(t)- 'milk' (the quintessential nutrient), Vedic jálāṣa- 'soothing' (< *galaĝso-?), Lith. glẽžnas (<*gleĝno-), ON klökkr (< *glenĝwo-) 'slack, tender'. Cf. Juret, Vocabulaire 11; Ivanov, Obsceindoevropejskaja 39; T. Burrow, W. B. Henning Memorial Volume 89-97 (1970); Oettinger, Stammbildung 149."
be silent → be calm,comfort,peace,,*gwr-éu̯-s-,"Lith. gùrstu 'subside, die down', Toch. A kur-, B kwär- 'become feeble, age', Goth, qaírrus 'gentle', qaírrei 'meekness', ON kvirr 'quiet, paceful', Arm. aorist koreay 'die out', korust 'extermination",calmly,"?/kar(a)i-(di)/, (“SIGNACULUM+*195”)ka-ri+i- ‘to sacrifice’",karuššiya-; karuššiyantili,,? karol(i)- ‘offering (?)’,,,,,,"Puhvel (HED K:116-117; 82-83): For etymology cf. s. v. kariya- 'stop, pause, rest' (82-83). Its uses parallel those of karussiyanu- (q. v.). The base verbs kariya- and karus(siya)- 'be silent' have similar intransitive meanings and probably the same etymology. Cf. Lith. gùrstu 'subside, die down', Toch. A kur-, B kwär- 'become feeble, age', Goth, qaírrus 'gentle', qaírrei 'meekness', ON kvirr 'quiet, paceful', Arm. aorist koreay 'die out', korust 'extermination'. Thus IE *gwer- in kariya- (*gwr̥-y-?) and karus- (*gwr-éw-s-?). For delabialization of *gw- before r see s. v. karap-. See also in eDiAna: https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=1226; https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=1269"
"to let go, to release → to relax → to calm, to soothe",comfort,peace,"PLuw lí-lEH-eh2- ‘pacification, soothing’","*leh1- ‘to diminish, permit, let'","Latin lētum n. ‘death’ (Plaut.+), lēnis ‘soft, mild, easy, calm, moderate’ (Plaut.+).; Old Irish ro·lá (< *-la-i̯e-ti) ‘puts, places, sets; Proto Germanic *lēwa- n. ‘occasion’ (Gothic lew), lēwijana- ‘to betray, deliver’ (Gothic lewjan, Old English lǣwan, Old High German, fir-, gi-lāen), Icelandic lómur ‘betrayal’. On Proto-Germanic *lētana- ‘to let, allow’ (Gothic letan, Old English lǣtan, English let, Old Norse láta, etc.) see below; Lithuanian liáuti (liáuja/-na, lióvė) ‘to cease; to stop sinning; to repent’, Latvian ļaũt (-ju/-nu, ļãvu) ‘allow, permit; grant freedom of action’, Old Prussian aulāut ‘to die’; Lithuanian lė̃tas ‘small, weak, slow; simple; cowardly, underhanded’, Latvian lȩ̃ts ‘light, reckless, cheap’, Lithuanian lė́nas ‘slow, calm, gentle, mild, weak (of drinks), (dial.) flexible’, Latvian lȩ̄̀ns ‘slow, calm, gentle, mild’.; Proto-Slavic *lěviti (Ukrainian leviti ‘weaken, diminish’, Czech leviti (obs., poet.) ‘facilitate, alleviate, diminish’, Serbo-Croatian léviti (dial.) ‘waste time, loaf ’), Old Church Slavonic lětь jestъ ‘it is allowed’, Proto-Slavic *lě̑nъ ‘lazy, slow’ (Old Church Slavonic lěnъ, Czech líný, Serbo-Croatian lȉjen, etc.).; Albanian lë ‘to let, leave (behind), allow, quit’, aor. la.","to pacify, to soothe, to appease","(CL) līla- ‘pacification(?), soothing(?)’",lela(e)-; lilaresk-; lila- (CL),,,,,,,,"https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=4024: The root *leh1- is reconstructed in LIV²:399 s.v. *leh1- as ‘to diminish, permit, let’ (“nachlassen, (zu)lassen”). Hittite lā-/l-(i) ‘to loosen, to release, to untie, to relieve, to remove (ailments)’ [+] , lela- c. ‘conciliation, pacification’, lelā(i)- ‘to pacify, soothe’, Luwian līla- c. ‘pacification, soothing’, Cuneiform Luwian līla-(ti) ‘to pacify, soothe’, lila(i)-(di) ‘to become calm’, Luwian in Hittite transmission lilā(i)-(mi) ‘to pacify, soothe’, etc.; Latin lētum n. ‘death’ (Plaut.+), lēnis ‘soft, mild, easy, calm, moderate’ (Plaut.+).; Old Irish ro·lá (< *-la-i̯e-ti) ‘puts, places, sets; Proto Germanic *lēwa- n. ‘occasion’ (Gothic lew), lēwijana- ‘to betray, deliver’ (Gothic lewjan, Old English lǣwan, Old High German, fir-, gi-lāen), Icelandic lómur ‘betrayal’. On Proto-Germanic *lētana- ‘to let, allow’ (Gothic letan, Old English lǣtan, English let, Old Norse láta, etc.) see below; Lithuanian liáuti (liáuja/-na, lióvė) ‘to cease; to stop sinning; to repent’, Latvian ļaũt (-ju/-nu, ļãvu) ‘allow, permit; grant freedom of action’, Old Prussian aulāut ‘to die’; Lithuanian lė̃tas ‘small, weak, slow; simple; cowardly, underhanded’, Latvian lȩ̃ts ‘light, reckless, cheap’, Lithuanian lė́nas ‘slow, calm, gentle, mild, weak (of drinks), (dial.) flexible’, Latvian lȩ̄̀ns ‘slow, calm, gentle, mild’.; Proto-Slavic *lěviti (Ukrainian leviti ‘weaken, diminish’, Czech leviti (obs., poet.) ‘facilitate, alleviate, diminish’, Serbo-Croatian léviti (dial.) ‘waste time, loaf ’), Old Church Slavonic lětь jestъ ‘it is allowed’, Proto-Slavic *lě̑nъ ‘lazy, slow’ (Old Church Slavonic lěnъ, Czech líný, Serbo-Croatian lȉjen, etc.).; Albanian lë ‘to let, leave (behind), allow, quit’, aor. la."
"right → oath; right → peaceful, positive → unite, reconcile",comfort,peace,PLyd Téks-os-to- or -ti-,"*dék̑s right’, PIE *dek̑- ‘to accept, perceive'","Ved. dákṣa- ‘able, fit’ Ved. dákṣiṇa- (RV+), YAv. dašina- ‘on the right, southern’ Gk. δεξίτερος ‘on the right’ (Il.+), Gk. δεξιός ‘on the right’ (Il.+), Myc. personal name de-ki-si-wo /deksiwos/ Lat. dexter ‘on the right’, Umbr. acc. sg. f. destram=e, etc., Osc. destrst ‘on the right’, Umbr. acc. sg. f. desua etc. ‘on the right’ OIr. dess ‘on the right; south’, Gaul place name Desso-briga, MW deheu ‘on the right, south’ Goth. taihswa ‘on the right’, OHG zeso, zesawer ‘id.’ Lith. dẽšinas ‘on the right’, OCS desnŭ ‘on the right’, etc. Alb. *djathë, djathtë ‘on the right’","right; to unite, reconcile",,"takš-(mi) ‘to unite, reconcile’; takšul- 'peace'",,tesast(i)-, tese- n. ‘oath’ ,,,,,"PIE *dek̑s- ‘right’ < PIE *dék̑‑os- ‘what is acceptable, pleasing, proper, right’; https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2735 Ved. dákṣa- ‘able, fit’ Ved. dákṣiṇa- (RV+), YAv. dašina- ‘on the right, southern’ Gk. δεξίτερος ‘on the right’ (Il.+), Gk. δεξιός ‘on the right’ (Il.+), Myc. personal name de-ki-si-wo /deksiwos/ Lat. dexter ‘on the right’, Umbr. acc. sg. f. destram=e, etc., Osc. destrst ‘on the right’, Umbr. acc. sg. f. desua etc. ‘on the right’ OIr. dess ‘on the right; south’, Gaul place name Desso-briga, MW deheu ‘on the right, south’ Goth. taihswa ‘on the right’, OHG zeso, zesawer ‘id.’ Lith. dẽšinas ‘on the right’, OCS desnŭ ‘on the right’, etc. Alb. *djathë, djathtë ‘on the right’"
desire (already in PIE) → plot (out of desire); desire → love,desire,love,"*kéu̯p-/kup- ‘to desire, plot (out of desire)’ ",*keu̯p-,"Vedic kopáyati ‘moves, shakes, agitates’ (RV), Sanskrit (epic) kupyati ‘is excited, agitated, boils with rage, is angry’, kopa- m. ‘fury, passion, wrath, anger’. Gk. Κύπρος f. ‘Cyprus’ (if ‘beloved [sc. island]’), Κύπρις, -ιδος ‘Cypris (a name of Aphrodite)’ (if ‘beloved one’). Lat. cupiō, cupere, cupīuī, cupītum ‘desire, long for’ (Naev.+), cupidus ‘having a strong desire, eager, anxious; greedy; ambitious; wanton’ (Pl.+), cupīdō, -inis f. or m. ‘passionate desire, lust, greed; Cupid’ (Pl.+), acc.pl. cuppēs ‘delicacies’ [+] , cuppēs, -ēdis ‘gluttonous’ (Pl.+), cuppēdia, -ōrum n. pl. ‘delicacies’ (Pl.+), cuppēdo ‘desire; gourmanderie’ (Varro+), dea Cupra (name of a goddess worshipped at Cupra in Picenum, perhaps identifiable with the Bona Dea), Umbr. cubrar matrer ‘Mother Cupra’, Sabin. ciprus ‘good’ (acc. to Varro L. 5.159), SPicen. kuprí, qupíríh adv. ‘?’ OIr. ad·cobra ‘desires, wishes’, accobor n. ‘desire, wish; greed; lust’ (*ad-kupro-), MIr. mil-chobur ‘bear’ < *‘desiring honey’ (cf. mil ‘honey’), PN Ól-chobar (cf. ól ‘drinking (alcohol)’), Con-chobar (cf. cú, gen. sg. con ‘dog’). PGmc. *heufana- ‘to wail, lament, grieve’ (Goth. hiufan, OE hēofan, OHG hiofan, hioban), OE hēof, hēaf ‘grief, sorrow’, ON hjúfra ‘to wail, weep’. Toch. B kāwā- ‘desire, crave’, kāwo, obl. kāwa ‘desire’; Toch. A kāpā- ‘well up, be greedy’ (but only if the verb is denominal and based on an *-eh₂-stem with schwebeablaut, viz. *ku̯opeh₂- > Proto-Toch. *kæpā- whence (with ā-umlaut) Toch. B kāwo).",to desire,"(GK) kup- ‘to plot, scheme’; kupiyat(i)-;; kupiyatalla/i-, kukupalatar; †kupiyatar","kup- 'plan, premeditate, scheme, plot, conspire, practise deceit', kup(i)yati- (c.) 'premeditation, scheme, plot', kupiyatalli- 'scheming, plotting, conspiring', kukupalalar (n.) 'advance plotting, malice aforethought, premeditated deceit' kupiškezzi?",,*kup- ‘to desire’,,"*kup- ‘to desire’ kupri-(ti) ‘to love, choose kuprime- ‘chosen (sacrifice",,,,"PAnat. *kéu̯p-/kup-´ ‘to desire, plot (out of desire)’; https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3216. Vedic kopáyati ‘moves, shakes, agitates’ (RV), Sanskrit (epic) kupyati ‘is excited, agitated, boils with rage, is angry’, kopa- m. ‘fury, passion, wrath, anger’. Gk. Κύπρος f. ‘Cyprus’ (if ‘beloved [sc. island]’), Κύπρις, -ιδος ‘Cypris (a name of Aphrodite)’ (if ‘beloved one’). Lat. cupiō, cupere, cupīuī, cupītum ‘desire, long for’ (Naev.+), cupidus ‘having a strong desire, eager, anxious; greedy; ambitious; wanton’ (Pl.+), cupīdō, -inis f. or m. ‘passionate desire, lust, greed; Cupid’ (Pl.+), acc.pl. cuppēs ‘delicacies’ [+] , cuppēs, -ēdis ‘gluttonous’ (Pl.+), cuppēdia, -ōrum n. pl. ‘delicacies’ (Pl.+), cuppēdo ‘desire; gourmanderie’ (Varro+), dea Cupra (name of a goddess worshipped at Cupra in Picenum, perhaps identifiable with the Bona Dea), Umbr. cubrar matrer ‘Mother Cupra’, Sabin. ciprus ‘good’ (acc. to Varro L. 5.159), SPicen. kuprí, qupíríh adv. ‘?’ OIr. ad·cobra ‘desires, wishes’, accobor n. ‘desire, wish; greed; lust’ (*ad-kupro-), MIr. mil-chobur ‘bear’ < *‘desiring honey’ (cf. mil ‘honey’), PN Ól-chobar (cf. ól ‘drinking (alcohol)’), Con-chobar (cf. cú, gen. sg. con ‘dog’). PGmc. *heufana- ‘to wail, lament, grieve’ (Goth. hiufan, OE hēofan, OHG hiofan, hioban), OE hēof, hēaf ‘grief, sorrow’, ON hjúfra ‘to wail, weep’. Toch. B kāwā- ‘desire, crave’, kāwo, obl. kāwa ‘desire’; Toch. A kāpā- ‘well up, be greedy’ (but only if the verb is denominal and based on an *-eh₂-stem with schwebeablaut, viz. *ku̯opeh₂- > Proto-Toch. *kæpā- whence (with ā-umlaut) Toch. B kāwo). It is difficult to establish the precise meaning of the root *keu̯p- in PIE. What is clear is that it referred to an intense feeling or emotion, probably ‘desire’ [+] , from which all other attested meanings may be derived (negative desire > fury in Indic, wistful desire > grief in Germanic, desire > plot (out of desire) in Anatolian Puhvel 257 Etymologically the connection with Lat. cupio 'crave' (first inW. Petersen, Arch. Or 9:205 [1937]) makes reasonable semantic sense (cf. rerwn novarum cupidus 'revolutionary') and may be strengthened syntactically by the regular -kan kup- besides Lat. con- -cupio, con-spiro. The absence of plene-spellings of medial stops does not militate, in view of Luwoid character (cf. Cop, Die Sprache 3:148 [1956]; Oettinger, Stammbildung 204). Less likely is Cop's (ibid. 147) adduction of the West and North Germanic etymon of Eng, hope which seems an isolated innovation (vs. Goth. wenjan 'to hope'; semantically there is a gap between the wishful thinking of 'hope' and the willful planning of kup-)."
"wish → demand, ask for",desire,desire,"*u̯ek̑(-i̯e/o)- ‘to request, wish’",*u̯ek̑-,"Ved. vaś- ‘to wish, want’ (RV [pres. 3sg. váṣṭi, 1pl. uśmási, ptc. uśánt-, fem. uśatī́-, etc.]+); Av. vas- ‘to wish’ (pres. 3sg. OAv. vaštī, 1pl. OAv. usǝ̄mahī, ptc. YAv. usaṇt-, fem. usaitī-, etc.). Gk. ptc. ἑκών (Cret, Locr. ϝεκών), fem. ἑκοῦσα, ntr. ἑκόν ‘readily, wittingly, purposely, as far as depends on one’s will, as far as concerns one’","to wish, request; requested, wanted (?)","*/wazz-; wazz(a)i-(di)(?)/, (“*69”)wa/i-zi-; /wazza-/, (“*69”)wa/i-za-; wazzaimma/i-; wazzi-(ti)","wēkk-/wek-(mi) ‘to request, wish; to ask for’ wewak - многократно требовать (= вед vavaś) wesk, uekuwar -требование,  отлож падеж - wekuwarraz, древняя гнтераклиза*- wer-|wen",,,"*wezz- , wezzeime/i- ",,,,,"*u̯ek̑(-i̯e/o)- ‘to request, wish’; PIE root *u̯ek̑- is ‘to wish Иванов стр 70. https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=1362. Ved. vaś- ‘to wish, want’ (RV [pres. 3sg. váṣṭi, 1pl. uśmási, ptc. uśánt-, fem. uśatī́-, etc.]+); Av. vas- ‘to wish’ (pres. 3sg. OAv. vaštī, 1pl. OAv. usǝ̄mahī, ptc. YAv. usaṇt-, fem. usaitī-, etc.). Gk. ptc. ἑκών (Cret, Locr. ϝεκών), fem. ἑκοῦσα, ntr. ἑκόν ‘readily, wittingly, purposely, as far as depends on one’s will, as far as concerns one’: The basic meaning of the PIE root *u̯ek̑- is ‘to wish’"
Hitt. and PIE heart → be angry; Luw. heart → wish for,desire,desire,"*k̑ḗr, k̑érd-, *k̑r̥d- ‘heart’","*k̑ēr, *k̑r̥d","Ved. hŕ̥d- n. ‘heart’ (nom./acc. sg. hā́rdi, gen. sg. hr̥dás, dat. sg. hr̥dé, loc. pl. hr̥tsú, etc. [RV+]), su-hā́rd- adj. ‘having a good heart, friendly’ (AV+), sarva-hr̥dā́ instr. sg. ‘wholehearted’ (RV 10.160.3); cf. also hŕ̥daya- n. ‘heart’ (RV+), hŕ̥dya- adj. ‘cordial, beloved’ (RV+). – OAv. zərəd- n. ‘heart’ (instr. sg. zərədā-cā [Y 31.12]), YAv. zərəδaiia- n. ‘heart’ [+] Gk. κῆρ n. ‘heart’, dat. sg. κῆρι, κηρόθι adv. ‘with all the heart, heartily’ (Il.+), ἀ-κήριος adj. ‘without heart, lifeless, discouraged’; καρδία, Ion. καρδίη, ep. κραδίη f. ‘heart’ (Il.+) Arm. sirt ‘heart’ (i-stem: gen./dat. sg. srt-i, instr. sg. srt-i-w, gen./dat. pl. srt-i-c‘, etc.) Lat. cor, gen. sg. cordis n. ‘heart, spirit, soul’ (Enn.+); con-cors adj. ‘agreeing, harmonious’ (Naev.+), dis-cors ‘disagreeing’ (Cic.+), etc. [+]OIr. cride n. ‘heart, middle, love’ Goth. haírto n. ‘heart’, ON hjarta n. ‘id.’, OS herta n. ‘id.’, OHG herza n. ‘id.’, etc. OPr. seyr n. ‘heart’; Lith. širdìs f. ‘id.’, šerdìs f. ‘core, kernel, pith’; Latv. sir̂ds f. ‘heart, courage, wrath’ [+] OCS srŭdĭce n. ‘heart’, Russ. sérdce n. ‘id.’, Pol. serce n. ‘id.’, SCr. sȑce n. ‘id.’, etc.; OCS srěda f. ‘middle, community, Wednesday’, Russ. seredá f. (obs.) ‘Wednesday’, SCr. srijèda f. ‘id.’, etc.TochA kri ‘will’, TochB käryāñ nom. pl. ‘hearts","wish; to wish, contrive","/zarti-(ti)/, (COR)za+ra/i-ti-; zartiya-/wish, (COR)za+ra/i-ti-ia-",kardimmi(ye/a)-; TUKU.TUKU -- kēr/kart- n. ‘heart + kardiyas iya - делать согласно желанию ,kārti- ‘heart’,,,,,,,"Hawkins & Morpurgo Davies 1988a:172f. assign /zartiyas/ to the lexeme /zart-/ ´heart´ and parse it as a genitive singular comparing Hitt. kardiyaš gen. sg. of kēr/kard- n. ‘heart’ Read paper on etymology, PIE heart --> be angry is a common shift for many IE languages, есть ли когнаты в анатолийских языках??? Rieken (1999a: 110-111): the root *ḱerd- ‘heart’ served as the basis for a verb *ḱerd-e/o- ‘to be angry’. Of this *ḱerd-e/o- a -men- derivation *ḱerd-i-men- ‘anger’ is formed, of which another verb in *e/o- is derived: *ḱerd-i-mn-e/o-, which regularly yielded Hitt. kartimmie-. PAna *k̑ḗr, k̑érd- / *k̑r̥d-´ ‘heart’."
passion → desire,desire,passion,"*ilo-, *ilaH- ‘passion’",,,passion,"И. Якубович обращает наше внимание на реконструкцию лувийского корня *alali-ti ‘желать’, очевидного когната с хетт. ilaliya-. Дополнительные свидетельства того же корня можно видеть в билингвальной надписи KARATEPE: § 65 /alunazza-i/ ‘желать’ и § 71 /alunnamm(a)-/ ‘похоть’ (Yakubovich 2017: 16).","ilāliye/a-(mi) ‘to desire’; ilā- ‘passion, desire (?)’",ila- 'passion'; ilaliya- 'unknown',,,,,,,https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=906.
"bad → irritated, annoyed",distress,anxiety,*han- (*Hón-/Hn-),,,"to be vexed, perturbed (or vel sim.)","*/haniya-(i)/ 'malicious, redupl. */hanhaniya-(i)/ ; /haniyatt(a)-/, (“MALUS2”)ha-ní-ia-ta- ; /hanhaniwan-/, (“MALUS2”)ha-ha-ní-wa/i- ; GK ḫanḫaniya- '‘to be malicious’'",,,,,,,,,"From PA *Hón-/Hn-´ ‘to be vexed, perturbed’. Considering that the phenomenon of reduplication is productive in Luwian, especially for stems in -iya-(i) (cf. /huwiya-(i)/ ‘to run’ → /hwihwiya-(i)/), and that verbs expressing an emotional state can undergo a full reduplication in Anatolian (cf. Hitt. katkattiye/a-(mi) ‘to tremble’, laḫlaḫḫiye/a-(mi) ‘to be perturbed’), it is more likely that we are dealing with a root *ḫan- (Sasseville 2021:45). See in eDiAna: https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=690"
"noisy agitation in men and birds or animals (onomatopoeic) → fluster and fuss → nervousness, anxiety",distress,anxiety,*lalh-,*leh2-,,to be anxious,"/lalhiliya-/, la+ra/i-hi-ri+i-ia-",laḫlaḫḫiya- (v.); laḫlaḫḫa- (n.) ,,,,,,,,"Finally, as in the semantic field of fear, worry can be expressed by (quasi)onomatopoeic reduplicated root: laḫlaḫiya- ‘be in commotion, scurry, scamper’ (normally with a locative particle =kan, to point out a locative connotation) structured on the same principle as kurkuriye- ‘to scare’ and katkatiya- to tremble’ (and also tastasiya- ' whisper', см. HED L:10–12). A.Kassian (pers.comm.) considers lahlahhiya- as a denominative of lahlahha- (c.), nom. sg. la-ah-la-ah-ha- as (KBo XLII 74 8). Puhvel allows it to be onomatopoeic, as in lah(h)anza(n)- (noisy agitation in men and birds or animals). Speaking of Anatolian cognates, one should refer to HLuw. (“COR”)la+ra/i-hi-ri+i-ia-zi /lalhiliyanzi/, which is a hapax from the Assur letter of the 8th c. BC (Bauer et al. 2017)."
onomatopoeic (< ai) from an interjection of pain *aH! (cf. Hitt. āi!),distress,pain,*áHreh2- ‘pain’,,,pain; state of painfullness,āḫra-; āḫraman-,āḫra- (CL),ārra- ‘pain (?)’Palaic sound change *-Hr- > -rr-,,,,,,,"The Luwian terms āḫra- and waḫra- found in these rituals are conventionally translated as “pain and woe,” which are related to the Hittite onomatopoetic terms aī- and waī- (HW2 A: 47; Kloekhorst 2008: 393; CLL: 4, 249)"
"to tear (one’s clothes, in a mourning ritual) → to grieve",distress,sorrow,*lup-,*leu̯p-,"Skt. lumpati 'break, plunder', lopdyati 'wound',  Lith. laupyti 'strip, rob', OCS lupiti","regret, sorrow, grief",lumpašti- (CL),lumpašti- (CL),,,,,,,,"Puhvel (HED 118): *lewp- may be identical with verbs meaning 'tear off, peel, strip, flay' (Lith. lupti, OCS lupiti), expressing originally (as 'tear atoneself) self-infliction in grieving rituals. Here may belong also Skt. lumpati 'break, plunder', lopdyati 'wound', the latter formally matching Lith. laupyti 'strip, rob' and OCS lupiti; it would showthe nasal, as in lumpasti- (but here the alternative attachment oflumpati to Lat. rumpo 'break' obtrudes)."
